Position,Name,Bib,Time,Net Time,Category,Category Position,Gender,Gender Position,col10
1,SAMUEL WREFORD,0346,02:17:30,02:17:29,M20-39,1,M,1,view
2,DALE WARRANDER,0329,02:22:42,02:22:41,M20-39,2,M,2,view
3,BLAIR MCWHIRTER,0210,02:25:24,02:25:23,M20-39,3,M,3,view
4,TONY PAYNE,0240,02:28:59,02:28:57,M20-39,4,M,4,view
5,STEVEN O'CALLAGHAN,0232,02:34:24,02:34:23,M20-39,5,M,5,view
6,KIM HOGARTH,0365,02:36:45,02:36:40,M20-39,6,M,6,view
7,GREG NICHOLS,0225,02:40:11,02:40:10,M20-39,7,M,7,view
8,ROB CREASY,0072,02:41:04,02:41:01,M20-39,8,M,8,view
9,ANDREW REESE-JONES,0257,02:44:19,02:44:16,VM40-49,1,M,9,view
10,LIZA HUNTER GALVAN,0366,02:45:42,02:45:40,VW40-49,1,F,1,view
11,RAYMOND WAREHAM,0327,02:47:06,02:47:04,VM40-49,2,M,10,view
12,GABRIELLE O'ROURKE,0235,02:47:24,02:47:22,VW40-49,2,F,2,view
13,JULIAN DAVIDSON,0075,02:49:16,02:49:13,M20-39,9,M,11,view
14,DALLAS WICHMAN,0339,02:51:21,02:51:18,M20-39,10,M,12,view
15,EVAN DAY,0078,02:52:31,02:52:28,M20-39,11,M,13,view
16,CLAUDE MEFFAN,0211,02:52:47,02:52:43,M12-19,1,M,14,view
17,JASON SWENEY,0308,02:54:09,02:54:05,M20-39,12,M,15,view
18,SIMON WOODING,0345,02:54:27,02:54:23,M20-39,13,M,16,view
19,DAVID MCGUINNESS,0393,02:54:35,02:54:31,VM40-49,3,M,17,view
20,MARK WAREING,0328,02:55:39,02:55:35,VM50-59,1,M,18,view
21,J J WILSON,0399,02:55:55,02:55:47,M20-39,14,M,19,view
22,ANDREW CAVE,0053,02:57:21,02:57:18,M20-39,15,M,20,view
23,NIGEL MORRIS,0219,02:57:27,02:57:23,M20-39,16,M,21,view
24,SCOTT HOTHAM,0157,02:58:03,02:57:59,M20-39,17,M,22,view
25,PAUL BARWICK,0021,02:58:39,02:58:31,M20-39,18,M,23,view
26,GUY DRYDEN,0088,02:58:57,02:58:50,VM40-49,4,M,24,view
27,SIMON KELLER,0174,02:59:38,02:59:34,M20-39,19,M,25,view
28,GAVIN BRIGSTOCKE,0035,03:00:50,03:00:43,M20-39,20,M,26,view
29,BEN TWYMAN,0321,03:01:03,03:00:52,M20-39,21,M,27,view
30,HAMISH DOBSON,0082,03:01:11,03:01:04,M20-39,22,M,28,view
31,SHAUN COOPER,0069,03:01:33,03:01:23,VM40-49,5,M,29,view
32,ANGELA LECK,0182,03:01:41,03:01:38,W20-39,1,F,3,view
33,PETER FREW,0112,03:02:44,03:02:37,VM40-49,6,M,30,view
34,BRYAN MCCORKINDALE,0295,03:03:05,03:03:00,VM50-59,2,M,31,view
35,AARON MOREY,0217,03:03:10,03:03:05,M20-39,23,M,32,view
