Position,Name,Bib,Time,Net Time,Category,Category Position,Gender,Gender Position,col10
1,SAM HERRING,00949,00:35:03,00:35:03,MOPEN,1,M,1,view
2,ARI PENBERTHY,01049,00:40:05,00:40:05,MOPEN,2,M,2,view
3,ALEX BEES,00867,00:42:18,00:42:18,MOPEN,3,M,3,view
4,DAVE STEWART,01098,00:42:59,00:42:59,MVET,1,M,4,view
5,CHARLOTTE MILNE,01025,00:43:12,00:43:12,FOPEN,1,F,1,view
6,ANDREW FERGUSON,00913,00:43:12,00:43:12,MVET,2,M,5,view
7,LOUIS FLAVELL-BIRCH,00914,00:44:56,00:44:56,MOPEN,4,M,6,view
8,CLAIRE KENYON,00977,00:46:44,00:46:44,FOPEN,2,F,2,view
9,TONY POWELL,01056,00:47:51,00:47:51,MVET,3,M,7,view
10,GEORGE HARMAN,00935,00:49:28,00:49:28,MOPEN,5,M,8,view
11,JULIUS CARDILLO,00882,00:49:44,00:49:44,MOPEN,6,M,9,view
12,RICHARD CILLIERS,00888,00:50:40,00:50:40,MVET,4,M,10,view
13,PAUL MILLER,01024,00:50:58,00:50:58,MVET,5,M,11,view
14,AISLINN BROWN,05786,00:52:24,00:52:24,FOPEN,3,F,3,view
15,CLARE NEWBURY,01039,00:53:41,00:53:41,FOPEN,4,F,4,view
16,BARRY FOUCHE,00917,00:54:10,00:54:10,MVET,6,M,12,view
17,CRISTINA IGLESIAS,00956,00:55:20,00:55:20,FVET,1,F,5,view
18,NICKY STEPHENS,01097,00:55:43,00:55:43,FOPEN,5,F,6,view
19,KERRY HAINS,05772,00:56:32,00:56:32,FVET,2,F,7,view
20,ELLA THOMPSON,01107,00:57:21,00:57:21,FOPEN,6,F,8,view
21,LIZ WILSON,01128,00:58:35,00:58:35,FVET,3,F,9,view
22,SUSAN RIGBY,01067,00:59:19,00:59:19,FOPEN,7,F,10,view
23,MARTIN BUTCHER,05785,00:59:27,00:59:27,MVET,7,M,13,view
24,PETER PARNHAM,01047,00:59:34,00:59:34,MVET,8,M,14,view
25,ROS LOWE,05765,01:01:13,01:01:13,FVET,4,F,11,view
26,CLEMENTINE ANNABELL,00856,01:01:28,01:01:28,FVET,5,F,12,view
27,LEANNE BIRCH,00869,01:01:45,01:01:45,FVET,6,F,13,view
28,ROLPH WATSON,01120,01:02:08,01:02:08,MVET,9,M,15,view
29,CHRISTIE WHITEHEAD,01125,01:03:10,01:03:10,FOPEN,8,F,14,view
30,DESIREE SCANLAN,01081,01:03:59,01:03:59,FOPEN,9,F,15,view
31,ANGELA GRAY,00929,01:04:16,01:04:16,FVET,7,F,16,view
32,GEORGIA WILLIS,01126,01:05:17,01:05:17,FOPEN,10,F,17,view
33,EFREN GONZALEZ PEREZ,00926,01:05:23,01:05:23,MVET,10,M,16,view
34,CARA DEWSNIP,00904,01:05:43,01:05:43,FVET,8,F,18,view
35,GILLIAN MEIRING,01022,01:05:57,01:05:57,FVET,9,F,19,view
36,SHERPARD MUSHAPAYIDZI,01033,01:06:26,01:06:26,MVET,11,M,17,view
37,TONY VAN MAANEN,01113,01:06:52,01:06:52,MVET,12,M,18,view
38,ZILAH HAMDAN,00933,01:07:16,01:07:16,FOPEN,11,F,20,view
39,FRANK FRANCKEISS,00919,01:07:51,01:07:51,MVET,13,M,19,view
40,JULIE MITCHELL,01027,01:08:51,01:08:51,FVET,10,F,21,view
41,JANETH DELA RAMA,00903,01:09:19,01:09:19,FVET,11,F,22,view
42,KIRSTEN SHAW,01089,01:12:19,01:12:19,FVET,12,F,23,view
43,LLOYD BRANSON,00871,01:13:55,01:13:55,MVET,14,M,20,view
44,JAMIE HILL,00951,01:13:58,01:13:58,FOPEN,12,F,24,view
45,DERF NZOE DELA RAMA,00902,01:16:22,01:16:22,MOPEN,7,M,21,view
46,TRISHA BARNES,00866,01:17:05,01:17:05,FVET,13,F,25,view
47,JULES ARDERN,00860,01:17:29,01:17:29,FVET,14,F,26,view
48,TANYA FOUCHE,00916,01:18:40,01:18:40,FVET,15,F,27,view
49,LEIGH VAN NIEKERK,01114,01:18:43,01:18:43,FVET,16,F,28,view
50,CHRISSY HERRING,00950,01:21:44,01:21:44,FOPEN,13,F,29,view
51,CLAIRE LAWRENCE,00987,01:23:06,01:23:06,FOPEN,14,F,30,view
52,HELEN LOADER,00996,01:23:11,01:23:11,FVET,17,F,31,view
53,ASHIKA LEE,00989,01:23:14,01:23:14,FVET,18,F,32,view
54,HARALD HOCHMANN,00952,01:25:18,01:25:18,MVET,15,M,22,view
