Position,Name,Bib,Time,Category,Category Position,Gender,Gender Position
1,AIDAN CHENERY,2410,00:50:25,19-34,1,Male,1
2,GRACE JORGENSEN,2127,00:50:39,19-34,1,Female,1
3,JOSH FRANCE,2024,00:51:48,19-34,2,Male,2
4,NICK VAN DEN WIEL,62,00:52:11,19-34,3,Male,3
5,EMILY MASON,2253,00:53:00,12-18,1,Female,2
6,TOBY REID,2226,00:53:52,40-44,1,Male,4
7,SAM FISHER,2782,00:55:16,35-39,1,Male,5
8,DAMIAN WILKINSON,2149,00:55:18,45-49,1,Male,6
9,TONY LAMAIN,2123,00:56:08,60-64,1,Male,7
10,RUKSAAN NASARUDEEN,2763,00:56:20,19-34,4,Male,8
11,SHAUN VANDERGOOT,2046,00:56:24,19-34,5,Male,9
12,SAM JORGENSEN,2126,00:56:43,19-34,6,Male,10
13,BILLIE EVERY-PALMER,2058,00:56:49,12-18,2,Female,3
14,MIKE AVISS,2144,00:56:59,55-59,1,Male,11
15,MARK HOLLAND,2261,00:57:15,45-49,2,Male,12
16,AMANDA WOODD,2284,00:57:19,50-54,1,Female,4
17,SINÃ©AD KELLY,2076,00:57:20,19-34,2,Female,5
18,CAROLINE BAIN,2150,00:57:21,19-34,3,Female,6
19,HANNAH SHACKLEY,2832,00:57:36,19-34,4,Female,7
20,CHRIS FERGUSON,2292,00:57:54,40-44,2,Male,13
21,ALEX WILKINSON,2337,00:58:43,40-44,1,Female,8
22,Ã‰TIENNE BOUSSIQUAULT,2825,00:58:59,19-34,7,Male,14
23,BENJAMIN STOREY,2856,00:59:24,12-18,1,Male,15
24,ELLA SOWMAN,2047,00:59:24,12-18,3,Female,9
25,CLIVE HOLYOAKE,2118,00:59:25,65-69,1,Male,16
26,KATIE CUNNINGHAM,2742,00:59:44,19-34,5,Female,10
27,NORA HELLESUND,2808,00:59:51,19-34,6,Female,11
28,MYA BLACKMORE,2100,01:00:00,12-18,4,Female,12
29,SCOTT DENMARK,2807,01:00:07,19-34,8,Male,17
30,KAYLA HEYBOURN,2785,01:00:18,19-34,7,Female,13
31,ESME LOXLEY,2760,01:00:19,19-34,8,Female,14
32,YASMIN CLYNES,2815,01:00:39,19-34,9,Female,15
33,GAYLE MULCAHY,2141,01:00:42,40-44,2,Female,16
34,DAMO PETERS,2242,01:00:50,40-44,3,Male,18
35,AUBREY NATION,2136,01:00:52,35-39,1,Female,17
36,HEIDI STENHOUSE-ALLEN,2796,01:00:58,40-44,3,Female,18
37,TOMAS EDMONDS,2838,01:00:59,19-34,9,Male,19
38,DAVID MOXHAM,640,01:01:01,50-54,1,Male,20
39,DIANNE ZUCCHETTO,2075,01:01:04,50-54,2,Female,19
40,KANE POLYBLANK,2278,01:01:23,35-39,2,Male,21
41,DARIO JEREZ,2759,01:01:42,19-34,10,Male,22
42,SUSAN DYSON,2169,01:01:56,55-59,1,Female,20
43,NATALIE CADZOW,2334,01:02:07,19-34,10,Female,21
44,ANDREA AMIES,2063,01:02:10,45-49,1,Female,22
45,ASHLEIGH SPRATT,2252,01:02:15,19-34,11,Female,23
46,OLIVIA STEEL,2325,01:02:16,19-34,12,Female,24
47,JOSH BURMESTER,2193,01:02:20,19-34,11,Male,23
48,THOMAS MARRIOTT,2201,01:02:26,19-34,12,Male,24
49,FLAVIA DIAZ,2308,01:02:44,19-34,13,Female,25
50,EUGEN STARK,2295,01:02:48,65-69,2,Male,25
51,SIMON OLLIVER,2320,01:03:15,35-39,3,Male,26
52,JESSICA STEVENSON,2319,01:03:15,19-34,14,Female,26
53,ALISTAIR MCGUFFIE,2358,01:03:28,50-54,2,Male,27
54,KATE ANDERSON,2260,01:03:36,19-34,15,Female,27
55,REBECCA HOWLETT,757,01:03:50,19-34,16,Female,28
56,JOLENE MCLAUGHLIN,2222,01:04:02,19-34,17,Female,29
57,REUBEN MOORE,2340,01:04:11,19-34,13,Male,28
58,ANNA MCDERMID,2232,01:04:22,35-39,2,Female,30
59,AMIE MURPHY,2194,01:04:50,40-44,4,Female,31
60,MARIE PEART,2125,01:05:03,19-34,18,Female,32
61,RIPEKA HOERARA,2248,01:05:23,19-34,19,Female,33
62,TREVOR BEAMSLEY,2124,01:05:45,40-44,4,Male,29
63,ALISHA BADDOCK,462,01:05:52,19-34,20,Female,34
64,MATTHEW CASEY,2225,01:05:53,35-39,4,Male,30
65,CHRIS BONNEY,2175,01:06:02,19-34,14,Male,31
66,ISABELLE SMITH,2270,01:06:08,19-34,21,Female,35
67,LOIS LESTER,2231,01:06:17,55-59,2,Female,36
68,MANDY MEDCALF-STEPHENS,2166,01:06:32,55-59,3,Female,37
69,SANDRA JAMES,2686,01:06:45,60-64,1,Female,38
70,ELLIOTT JOHNSTON,758,01:06:47,45-49,3,Male,32
71,ANNE BATE,2117,01:06:49,60-64,2,Female,39
72,CHRISTINA LEECH,2843,01:06:50,19-34,22,Female,40
73,MATTHEW HERBERT,2234,01:06:51,35-39,5,Male,33
74,CALE EXETER,652,01:07:03,35-39,6,Male,34
75,LIAM PLUM,2195,01:07:19,19-34,15,Male,35
76,DANIELLE HOLLAND,2328,01:07:20,19-34,23,Female,41
77,LAILA SHEIKH,759,01:07:57,35-39,3,Female,42
78,CHLOE DENMARK,2191,01:08:01,19-34,24,Female,43
79,MAILLE FEELEY,2287,01:08:03,35-39,4,Female,44
80,JAMES MERCER,2743,01:08:05,60-64,2,Male,36
81,AMBER LYONS,2168,01:08:34,19-34,25,Female,45
82,ROVENA JACKSON,2851,01:08:35,40-44,5,Female,46
83,LUKE MURRAY,2761,01:08:36,19-34,16,Male,37
84,REBECCA FRANCE,2023,01:08:43,19-34,26,Female,47
85,KEELEY STEBBINGS,2207,01:08:44,19-34,27,Female,48
86,BROOKE OLSEN,2202,01:08:47,19-34,28,Female,49
87,MADDY WALKER,2177,01:08:58,19-34,29,Female,50
88,HAYLEY D'ATH,2842,01:09:11,35-39,5,Female,51
89,JOANNA BISPHAN,2280,01:09:33,40-44,6,Female,52
90,GENNA GRANT,2281,01:09:34,40-44,7,Female,53
91,TAYLA STYLES,2045,01:09:35,19-34,30,Female,54
92,KAYE RYAN,2402,01:09:35,50-54,3,Female,55
93,CATHERINE RYAN,2403,01:09:35,55-59,4,Female,56
94,JEMAHL CATTERMOUL,2106,01:09:36,50-54,3,Male,38
95,SARAH PAINTER,2404,01:09:36,50-54,4,Female,57
96,JANINE CATTERMOUL,2107,01:09:36,50-54,5,Female,58
97,VICTORIA PFAHLERT,2240,01:09:58,50-54,6,Female,59
98,MAISIE O'DEA,2792,01:10:15,19-34,31,Female,60
99,JEREMY RILEY,2273,01:10:23,40-44,5,Male,39
100,MAYA PAGE,2857,01:10:23,19-34,32,Female,61
101,EMILY THOMAS,2801,01:10:24,19-34,33,Female,62
102,DAVID PETER,2183,01:10:28,19-34,17,Male,40
103,MAYSIE TURNER,2765,01:10:33,19-34,34,Female,63
104,BRIANA BOX,2114,01:10:34,19-34,35,Female,64
105,BIRNA THOMPSON,2176,01:11:09,12-18,5,Female,65
106,ALED THORPE,2246,01:11:12,40-44,6,Male,41
107,MAELYS RICHARDOZ,2848,01:11:15,19-34,36,Female,66
108,NAOMI OCONNELL,505,01:11:16,19-34,37,Female,67
109,EMMA GLEESON,2286,01:11:16,19-34,38,Female,68
110,SARINA IBBOTSON,2750,01:11:23,50-54,7,Female,69
111,ANOUSKA MOYNAGH,2010,01:11:29,45-49,2,Female,70
112,MACARENA GRIFFITHS,2377,01:11:30,45-49,3,Female,71
113,SHARLEEN HANNON,2054,01:11:39,45-49,4,Female,72
114,JAMES WATSON,2370,01:11:40,50-54,4,Male,42
115,DUNCAN AITKEN,2298,01:11:45,40-44,7,Male,43
116,BELLA FORBES,2326,01:12:00,19-34,39,Female,73
117,EMMA KALIN,2245,01:12:05,19-34,40,Female,74
118,DEBBIE LABUDDE,2162,01:12:06,50-54,8,Female,75
119,LACHLAN JAMES,2111,01:12:07,19-34,18,Male,44
120,EILEEN BEATTIE,2241,01:12:08,65-69,1,Female,76
121,HANNAH HILL,2243,01:12:14,19-34,41,Female,77
122,KIRSTY MCKELLAR,2158,01:12:24,60-64,3,Female,78
123,KERRY REGISTER,2285,01:12:31,45-49,5,Female,79
124,ALEXANDRA NORTHMORE,2134,01:12:38,19-34,42,Female,80
125,LYDIA HANRAHAN,2115,01:12:46,12-18,6,Female,81
126,ISAAC SUTHERLAND,2187,01:13:17,19-34,19,Male,45
127,STEVEN GRAY,2186,01:13:17,60-64,3,Male,46
128,EILEEN MERRIMAN'S,2006,01:13:24,45-49,6,Female,82
129,CHELSEA ROGERS,2818,01:13:26,19-34,43,Female,83
130,ANNA HEUNES,2239,01:13:32,50-54,9,Female,84
131,LUCY EVERS,2147,01:13:38,40-44,8,Female,85
132,MIRANDA VAN DER LINDE,2845,01:13:58,35-39,6,Female,86
133,ANDREW HAWKER,2362,01:14:02,40-44,8,Male,47
134,CLARISSA SIEBELINK,2833,01:14:13,19-34,44,Female,87
135,HUGO FERREIRA,2844,01:14:13,35-39,7,Male,48
136,LISA HAUTLER,2033,01:14:16,40-44,9,Female,88
137,ABIGAIL EVANS,2132,01:14:24,35-39,7,Female,89
138,KIMBERLEY RICHARDS,2255,01:14:24,19-34,45,Female,90
139,RICKIELEE BARLOW,33,01:14:26,19-34,46,Female,91
140,JESSIE GILCHRIST,2839,01:14:26,19-34,47,Female,92
141,JANELLE REA,2352,01:14:43,40-44,10,Female,93
142,DANICA SMITH,2269,01:14:56,19-34,48,Female,94
143,LYNN LIU,2271,01:15:02,35-39,8,Female,95
144,KAITLIN FEAST,2218,01:15:21,19-34,49,Female,96
145,STELLA PHILLIPS,2342,01:15:34,12-18,7,Female,97
146,IAN TINGEY,2018,01:15:39,65-69,3,Male,49
147,LAURA BOROUGHF,2077,01:15:41,40-44,11,Female,98
148,AMY DUCKWORTH,2171,01:15:43,45-49,7,Female,99
149,AMY WAKELIN,2178,01:15:49,40-44,12,Female,100
150,BELLA BEETHAM,2116,01:15:49,12-18,8,Female,101
151,IAN BROOM,2130,01:15:49,65-69,4,Male,50
152,SVENJA MORGAN,2133,01:15:51,35-39,9,Female,102
153,ANASTASIA CLARKE,2756,01:15:55,19-34,50,Female,103
154,JADE NOTT,2180,01:16:01,19-34,51,Female,104
155,POPPY FERNANDEZ,2173,01:16:27,12-18,9,Female,105
156,MAISIE SHENFIELD,2172,01:16:28,12-18,10,Female,106
157,SARAH WOJTAS,2754,01:16:37,19-34,52,Female,107
158,KATIE COVELL,2858,01:16:38,50-54,10,Female,108
159,THU PHAM,2767,01:16:42,19-34,53,Female,109
