Position,Name,Bib,Time,Nationality,Category,Category Position,Gender,Gender Position
1,JONAS BUUD,552,08:00:53,SWE,40-49,1,Male,1
2,DAVID BYRNE,613,08:22:39,AUS,30-39,1,Male,2
3,RYAN SANDES,596,08:30:40,RSA,30-39,2,Male,3
4,YOSHIKAZU HARA,273,08:40:17,NZL,40-49,2,Male,4
5,VAJIN ARMSTRONG,601,08:46:12,NZL,30-39,3,Male,5
6,JASON SCHLARB,494,09:16:48,,30-39,4,Male,6
7,MICHAEL WARDIAN,597,09:27:23,,40-49,3,Male,7
8,CRAIG TORR,216,09:33:23,NZL,30-39,5,Male,8
9,RUDI SMITH,304,09:33:53,NZL,20-29,1,Male,9
10,COINTRE CYRIL,589,09:39:38,FRA,30-39,6,Male,10
11,BENJAMIN KOSS,600,09:42:37,,30-39,7,Male,11
12,FORD SMITH,610,09:49:57,,20-29,2,Male,12
13,KRYSTIAN OGLY,565,10:18:06,POL,30-39,8,Male,13
14,DOMINIC CHANNON,614,10:19:34,NZL,20-29,3,Male,14
15,TIM WRIGHT,8,10:21:28,NZL,40-49,4,Male,15
16,MICHAEL JONES,471,10:25:54,,20-29,4,Male,16
17,FIONA HAYVICE,295,10:34:26,NZL,40-49,1,Female,1
18,GREGG PORTER,620,10:36:43,NZL,40-49,5,Male,17
19,NIC ERROL,24,10:52:32,AUS,20-29,5,Male,18
20,ANDREW MCDOWALL,164,10:52:58,NZL,30-39,9,Male,19
21,PAUL GILLAN,242,10:53:25,AUS,20-29,6,Male,20
22,JEAN-S_BASTIEN BRAUN,541,10:55:31,FRA,40-49,6,Male,21
23,MELISSA ROBERTSON,151,10:56:20,AUS,30-39,1,Female,2
24,BEN CLARK,215,10:58:37,AUS,30-39,10,Male,22
25,MICHAEL RICHARDSON,307,11:06:29,AUS,30-39,11,Male,23
26,CHRIS WHARAM,115,11:18:26,NZL,20-29,7,Male,24
27,ANDERSON MOQUIUTI,615,11:21:13,AUS,30-39,12,Male,25
28,LUKE SMYTHE,296,11:22:25,AUS,20-29,8,Male,26
29,FIONA EAGLES,527,11:24:57,NZL,30-39,2,Female,3
30,HENRY WEST,502,11:27:24,AUS,20-29,9,Male,27
31,STEPHANE SARDA,577,11:35:37,FRA,40-49,7,Male,28
32,NYIKOLAJ ROSKOVICS,111,11:36:25,HUN,40-49,8,Male,29
33,STEVE BORKIN,184,11:36:45,NZL,30-39,13,Male,30
34,THOMAS ERIKSEN,482,11:37:52,,20-29,10,Male,31
35,HOWARD NORTON,319,11:40:31,AUS,50-59,1,Male,32
36,PHAIRAT VARASIN,560,11:45:42,THI,30-39,14,Male,33
37,MICHAEL  PULLAR,106,11:46:08,NZL,40-49,9,Male,34
38,CRAIG FOWLER,328,11:46:53,NZL,20-29,11,Male,35
39,KATRIN GOTTSCHALK,537,11:46:55,NZL,30-39,3,Female,4
40,JEREMY MOODY,1102,11:48:48,NZL,30-39,15,Male,36
41,CHRISTIAN STOCKLE,578,11:49:58,NZL,30-39,16,Male,37
42,DANIEL THIBAULT,428,12:01:27,FRA,50-59,2,Male,38
43,PETER LEE,221,12:07:50,HKG,40-49,10,Male,39
44,TOM MOSCHITZ,504,12:10:09,AUS,40-49,11,Male,40
45,REX KOENIG KING,331,12:15:07,NZL,40-49,12,Male,41
46,CALEB PEARSON,342,12:15:07,NZL,20-29,12,Male,42
47,COURTNEY PRATT,488,12:17:55,AUS,30-39,4,Female,5
48,LUCILE RESPLANDY,590,12:20:48,FRA,30-39,5,Female,6
49,ALLAN KERSHAW,474,12:21:48,NZL,30-39,17,Male,43
50,GAVIN MURPHY,214,12:21:48,NZL,40-49,13,Male,44
51,WAYNE BOTHA,525,12:21:54,NZL,40-49,14,Male,45
52,ANDREW SCHEEPERS,353,12:21:57,NZL,40-49,15,Male,46
53,STEVE HANMER,556,12:22:15,NZL,30-39,18,Male,47
54,MICHAEL COURTNEY,125,12:22:55,NZL,30-39,19,Male,48
55,ERIN  VAUGHAN,42,12:23:41,NZL,20-29,1,Female,7
56,PASCAL JEAN GUILLAME,237,12:29:09,NCL,40-49,16,Male,49
57,DIANNE BULLED,361,12:29:18,NZL,50-59,1,Female,8
58,LE WANG,432,12:30:10,CHN,30-39,20,Male,50
59,JOANNA  KRUK,551,12:30:10,AUS,20-29,2,Female,9
60,MARK RICKARD,251,12:31:03,NZL,40-49,17,Male,51
61,WILL HAYWARD,149,12:32:16,NZL,40-49,18,Male,52
62,KATRIN WEBB,529,12:32:25,NZL,30-39,6,Female,10
63,DELINA RAHMATE,134,12:36:12,AUS,40-49,2,Female,11
64,EMMA BASSETT,380,12:36:32,NZL,30-39,7,Female,12
65,DANIEL HOUGHTON,167,12:39:08,,20-29,13,Male,53
66,SOPHIE WOODMAN,455,12:39:39,NZL,20-29,3,Female,13
67,JANET NG,608,12:39:45,HKG,40-49,3,Female,14
68,JIM ROGERS,579,12:39:55,,50-59,3,Male,54
69,MARIEVE  LEGRAND,598,12:40:04,CAN,30-39,8,Female,15
70,ALAN TRUSLER,464,12:40:42,NZL,30-39,21,Male,55
71,KEVIN NICHOLSON,509,12:41:14,NZL,40-49,19,Male,56
72,STUART HUGHES,381,12:41:18,AUS,40-49,20,Male,57
73,PAUL STEVENS,253,12:41:56,NZL,50-59,4,Male,58
74,BRAD ALLEN,407,12:45:26,AUS,30-39,22,Male,59
75,THOMAS WATSON,3,12:46:56,NZL,20-29,14,Male,60
76,MAX GREER,397,12:48:21,NZL,50-59,5,Male,61
77,MANUEL QUEROL MESTRE,498,12:48:40,ESP,30-39,23,Male,62
78,SIMON ROBERTS,98,12:50:44,AUS,40-49,21,Male,63
79,GERRY GOSEN,511,12:50:44,SNG,40-49,22,Male,64
80,RYAN CUDBY,437,12:51:18,NZL,30-39,24,Male,65
81,ALEX HAHLOS,472,12:51:51,AUS,30-39,25,Male,66
82,RICHARD YOUNG,555,12:54:48,NZL,50-59,6,Male,67
83,NEIL QUACH,382,12:55:09,,40-49,23,Male,68
84,ROB HENDERSON,332,12:58:14,NZL,60-69,1,Male,69
85,JO PETERSEN,264,13:00:06,NZL,60-69,2,Male,70
86,DONALD ROXBURGH,345,13:00:34,JPN,40-49,24,Male,71
87,CIARAN BRENNAN,298,13:01:41,NZL,30-39,26,Male,72
88,MICHAEL ROGAN,54,13:05:49,AUS,40-49,25,Male,73
89,DOUGIE KYLE,157,13:10:19,NZL,30-39,27,Male,74
90,PHILIP SMITH,491,13:10:55,,40-49,26,Male,75
91,JOSEPH DORPH,460,13:11:27,AUS,20-29,15,Male,76
92,BRADLEY WILKIE,592,13:11:27,NZL,40-49,27,Male,77
93,MICHAELA MCDONALD,9,13:11:47,AUS,20-29,4,Female,16
94,DEAN  MICHIE,453,13:12:58,NZL,40-49,28,Male,78
95,ALEX HOWARTH,118,13:14:01,HKG,30-39,28,Male,79
96,MICHAL KLAR,160,13:16:16,IDN,30-39,29,Male,80
97,DAFYDD MALCOLM,276,13:16:23,NZL,30-39,30,Male,81
98,TRAVIS STULL,373,13:17:59,NZL,30-39,31,Male,82
99,GHISLAIN CONAN,121,13:18:04,NCL,40-49,29,Male,83
100,OLIVIER PECOUL,355,13:18:24,NZL,30-39,32,Male,84
101,CHARLIE MCNALLY,114,13:18:51,NZL,50-59,7,Male,85
102,CLARE JACKSON,604,13:19:32,AUS,20-29,5,Female,17
103,LOGAN VICKERS,171,13:19:49,AUS,20-29,16,Male,86
104,ERIC CHOOI,135,13:20:10,MAL,30-39,33,Male,87
105,RANDOLPH WHITE,362,13:20:16,FRP,60-69,3,Male,88
106,BENJAMIN  PERSKE,572,13:23:16,AUS,20-29,17,Male,89
107,STU MACLEAN,124,13:25:56,NZL,40-49,30,Male,90
108,CONAN LAURENCE,117,13:27:02,NCL,40-49,4,Female,18
109,THOM  SHANKS,368,13:27:09,NZL,30-39,34,Male,91
110,CHIRS BIRKINSHAW,275,13:27:13,NZL,40-49,31,Male,92
111,WARRICK HEALD,141,13:28:14,AUS,30-39,35,Male,93
112,LYN CLARK,218,13:31:19,NZL,50-59,2,Female,19
113,BARTLOMIEJ TRELA,542,13:31:27,POL,30-39,36,Male,94
114,CRAIG PRICE,64,13:32:13,NZL,40-49,32,Male,95
115,SALLY  AITKEN,207,13:34:08,NZL,40-49,5,Female,20
116,EVAN ATKINSON,1113,13:34:15,NZL,30-39,37,Male,96
117,JOHN HENRY,443,13:36:25,NZL,30-39,38,Male,97
118,MATTHEW O'CONNOR,457,13:36:47,NZL,20-29,18,Male,98
119,SARAH MURPHY,547,13:40:08,AUS,40-49,6,Female,21
120,LEA PANERAS,25,13:41:06,AUS,40-49,7,Female,22
121,NIC MEAD,316,13:42:12,NZL,30-39,39,Male,99
122,INIA RAUMATI,385,13:43:05,NZL,40-49,33,Male,100
123,MIKE KEIGHTLEY,5,13:43:31,NZL,40-49,34,Male,101
124,TOM IGUSA,94,13:44:02,NZL,30-39,40,Male,102
125,PHILL DERNEE,621,13:45:04,AUS,20-29,19,Male,103
126,TIM MCDOUGAL,140,13:48:02,NZL,30-39,41,Male,104
127,ADAM MIKIC,292,13:48:54,AUS,40-49,35,Male,105
128,LILLA CSORGO,330,13:49:35,NZL,40-49,8,Female,23
129,NICK GOLLEDGE,133,13:49:36,NZL,40-49,36,Male,106
130,NIKKI MACKINTOSH,76,13:50:10,AUS,30-39,9,Female,24
131,JACOB FLEMING,389,13:50:19,NZL,20-29,20,Male,107
132,RICHARD LEARY,263,13:53:17,NZL,30-39,42,Male,108
133,GRANT HARVISON,333,13:54:17,SUI,50-59,8,Male,109
134,YVES DOUSSAL,546,13:55:38,FRA,30-39,43,Male,110
135,JAMES ( AKA JACK) DARLINGTON,446,13:56:22,NZL,20-29,21,Male,111
136,SCOTT HILLMAN,422,13:56:40,NZL,40-49,37,Male,112
137,PAUL DALLEY,173,13:57:48,NZL,40-49,38,Male,113
138,DARREN COTTERILL,16,13:57:50,AUS,40-49,39,Male,114
139,GRAEME LEAR,338,14:02:00,NZL,60-69,4,Male,115
140,KEVIN BIGGAR,605,14:03:06,NZL,40-49,40,Male,116
