Position,Name,Bib,Time,Category,Category Position,Gender,Gender Position,Run
1,VLADIMIR SHATROV,1006,15:53:30,40-49,1,Male,1,15:53:30
2,YOSHIHIKO ISHIKAWA,1125,16:48:47,30-39,1,Male,2,16:48:47
3,AILSA MACDONALD,1277,18:10:29,30-39,1,Female,1,18:10:29
4,ADAM KIMBLE,1002,18:23:27,30-39,2,Male,3,18:23:27
5,RYO MURATA,1180,19:05:24,18-29,1,Male,4,19:05:24
6,JON BOLAM,1031,19:56:57,30-39,3,Male,5,19:56:57
7,ZAC MARION,1004,20:22:05,30-39,4,Male,6,20:22:05
8,CHOR KIN LAW,1144,20:32:25,40-49,2,Male,7,20:32:25
9,GREGG PORTER,1199,21:07:12,40-49,3,Male,8,21:07:12
10,CRAIG TORR,1251,21:14:25,40-49,4,Male,9,21:14:25
11,NICHOLAS BAMFORD,1018,21:51:23,30-39,5,Male,10,21:51:23
12,TIMOTHY PICKERING,1197,21:58:33,30-39,6,Male,11,21:58:33
13,CAROLINE SEBERT,1217,22:14:21,30-39,2,Female,2,22:14:21
14,SUE CROWLEY,1065,22:28:28,50-59,1,Female,3,22:28:28
15,JAMES BLANTON,1030,22:36:24,40-49,5,Male,12,22:36:24
16,IAN ROBINSON,1283,22:46:23,40-49,6,Male,13,22:46:23
17,MARIEVE LEGRAND,1279,22:53:17,40-49,1,Female,4,22:53:17
18,MATT GORE,1101,22:57:56,18-29,2,Male,14,22:57:56
19,THOMAZ MOSCARDINI CARDOSO DOS SANTOS,1175,22:59:08,30-39,7,Male,15,22:59:08
20,TILLY PEPPERS,1195,23:11:17,18-29,1,Female,5,23:11:17
21,YUMIKO OISHI,1186,23:33:54,40-49,2,Female,6,23:33:54
22,MICHAEL BRAY,1033,23:36:01,40-49,7,Male,16,23:36:01
23,SCOTTY THORNTON,1246,23:43:04,18-29,3,Male,17,23:43:04
24,DAFYDD MALCOLM,1162,23:46:44,40-49,8,Male,18,23:46:44
25,CHRIS LUCAS,1158,23:53:24,30-39,8,Male,19,23:53:24
26,GARY MULLINS,1178,24:00:53,40-49,9,Male,20,24:00:53
27,JOE MURPHY,1181,24:04:06,40-49,10,Male,21,24:04:06
28,CHRISTOPHE THOMAS,1245,24:05:55,40-49,11,Male,22,24:05:55
29,ANNA LONGDILL,1157,24:25:49,30-39,3,Female,7,24:25:49
30,KIRK BAKES,1017,24:27:15,30-39,9,Male,23,24:27:15
31,ANDY TAYLOR,1282,24:31:53,40-49,12,Male,24,24:31:53
32,ALLEN MILLS,1173,24:41:52,40-49,13,Male,25,24:41:52
33,MAITE ROJO,1210,24:52:02,40-49,3,Female,8,24:52:02
34,ABHISHEK TIWARI,1250,24:53:33,30-39,10,Male,26,24:53:33
35,JON RICHARDSON,1204,24:56:23,30-39,11,Male,27,24:56:23
36,MARK TAYLOR,1242,25:12:07,50-59,1,Male,28,25:12:07
37,THOMAS GODFREY,1099,25:26:35,30-39,12,Male,29,25:26:35
38,MARK CARLEY,1046,25:27:20,40-49,14,Male,30,25:27:20
39,LEONIE VAN DEN HAAK,1259,25:28:39,30-39,4,Female,9,25:28:39
40,PAUL HEWITSON,1114,25:42:30,50-59,2,Male,31,25:42:30
41,BRAD ALLEN,1010,25:42:46,40-49,15,Male,32,25:42:46
42,DEREK WOOD,1271,26:01:12,18-29,4,Male,33,26:01:12
43,GILES PEARSON,1194,26:03:31,50-59,3,Male,34,26:03:31
44,KATE ANNAN,1012,26:04:47,30-39,5,Female,10,26:04:47
45,GEOFF BARNES,1022,26:22:31,50-59,4,Male,35,26:22:31
46,KIM LOANE,1156,26:34:56,50-59,5,Male,36,26:34:56
47,MALCOLM JACKSON,1126,26:35:25,40-49,16,Male,37,26:35:25
48,PETER MAHER,1161,26:35:37,40-49,17,Male,38,26:35:37
49,WARREN DOAK,1076,26:35:46,50-59,6,Male,39,26:35:46
50,FEMI COPPI,1061,26:40:31,30-39,6,Female,11,26:40:31
51,JASON CRAIG,1063,26:48:52,40-49,18,Male,40,26:48:52
52,SCOTT SAMBUCCI,1213,26:54:35,40-49,19,Male,41,26:54:35
53,THOMAS HEAL,1110,26:55:08,40-49,20,Male,42,26:55:08
54,TAITO INAGAKI,1124,26:55:49,30-39,13,Male,43,26:55:49
55,GLENN KELLY,1280,27:01:10,40-49,21,Male,44,27:01:10
56,JOHN THIRLWELL,1244,27:07:33,30-39,14,Male,45,27:07:33
57,WILLY ROBERTS,1206,27:08:26,50-59,7,Male,46,27:08:26
58,SHAUN CAVANOUGH,1047,27:09:27,40-49,22,Male,47,27:09:27
59,DEON MCLEAN,1170,27:09:28,40-49,23,Male,48,27:09:28
60,BILLIE MARSHALL,1164,27:12:30,50-59,2,Female,12,27:12:30
61,DAI DAVIES,1071,27:20:06,30-39,15,Male,49,27:20:06
62,DAVID LEWIS,1153,27:21:59,30-39,16,Male,50,27:21:59
63,PHIL CALDER,1043,27:22:22,40-49,24,Male,51,27:22:22
