Position,Name,Bib,Time,Nationality,Category,Category Position,Gender,Gender Position,Run
1,ZACH MILLER,50,14:41:41,USA,30-39,1,Male,1,14:41:39
2,HAJIME MAMBA,1361,15:11:30,JPN,30-39,2,Male,2,15:11:27
3,NICHOLAS BAMFORD,26,15:32:57,GBR,30-39,3,Male,3,15:32:55
4,LOUIS SCHINDLER,20,16:04:17,NZL,40-49,1,Male,4,16:04:12
5,SIMON COCHRANE,23,16:05:44,NZL,30-39,4,Male,5,16:05:41
6,SCOTT BOUGEN,1227,16:06:00,NZL,40-49,2,Male,6,16:05:57
7,DOUG MOORE,34,16:50:21,NZL,30-39,5,Male,7,16:50:18
8,PETER MORTIMER,1444,16:58:51,GBR,40-49,3,Male,8,16:58:46
9,LUCY BARTHOLOMEW,1001,17:13:27,AUS,18-29,1,Female,1,17:13:24
10,SAM HARVEY,1071,17:25:14,NZL,18-29,1,Male,9,17:25:11
11,SIMON MCLEAN,1364,17:40:23,NZL,30-39,6,Male,10,17:40:18
12,BENJE PATTERSON,1384,17:52:49,NZL,30-39,7,Male,11,17:52:46
13,BENN COUBROUGH,33,17:53:32,AUS,40-49,4,Male,12,17:53:28
14,KIMINO MIYAZAKI,1368,17:54:50,JPN,30-39,1,Female,2,17:54:47
15,MATTHEW GUMMER,1333,18:04:00,NZL,30-39,8,Male,13,0:00:00
16,TROY FIELD,1046,18:06:16,NZL,40-49,5,Male,14,18:06:12
17,ALLY WILLCOX,1199,18:16:47,GBR,30-39,9,Male,15,18:16:41
18,KATIE WRIGHT,40,18:19:22,NZL,30-39,2,Female,3,18:19:18
19,MATT PILLEY,1271,18:38:46,AUS,30-39,10,Male,16,18:38:32
20,OLIVER PAGE,1144,18:41:51,AUS,40-49,6,Male,17,18:41:42
21,MARCUS STAKER,1175,18:45:03,AUS,30-39,11,Male,18,18:44:59
22,ANDREW MCDOWALL,1262,18:45:11,NZL,40-49,7,Male,19,18:45:08
23,ASHLEY HARINK,1339,18:45:17,AUS,30-39,12,Male,20,18:45:12
24,CULLEN RHIND,1394,18:49:39,NZL,18-29,2,Male,21,18:49:35
25,AARON DOWER,1468,18:50:59,NZL,40-49,8,Male,22,18:50:53
26,JAMES BRYANT BLAND,1021,19:09:49,NZL,30-39,13,Male,23,19:09:42
27,AARON SMITH,1400,19:12:59,AUS,30-39,14,Male,24,19:12:54
28,JUB BRYANT,1306,19:17:50,NZL,30-39,15,Male,25,19:17:42
29,LIAM BROWN,1019,19:21:33,AUS,40-49,9,Male,26,19:21:29
30,THOMAS WESTAWAY,1452,19:29:48,NZL,30-39,16,Male,27,19:29:42
31,CHRIS SANSON,22,19:30:15,NZL,30-39,17,Male,28,19:30:13
32,NICK TWEED,1191,19:32:41,NZL,18-29,3,Male,29,19:32:33
33,MASON WILLIS,1284,19:36:59,DNK,18-29,4,Male,30,19:36:52
34,JOHAN BERGMAN,1299,19:39:25,NZL,40-49,10,Male,31,19:39:18
35,BRETT BANCROFT,1222,19:45:30,AUS,40-49,11,Male,32,19:45:23
36,JOE BENBOW,1012,19:48:21,NZL,40-49,12,Male,33,19:48:14
37,JAMES BLANTON,1462,19:52:53,AUS,40-49,13,Male,34,19:52:49
38,STEPHEN HARNEY,1250,19:57:07,NZL,30-39,18,Male,35,19:56:58
39,BEVAN LITTLER,1109,20:06:12,NZL,40-49,14,Male,36,20:06:08
40,GAVIN GOWER,1063,20:07:06,NZL,40-49,15,Male,37,20:07:01
41,HANNAH MCRAE,1120,20:11:39,AUS,18-29,2,Female,4,20:11:33
42,MICHAEL COURTNEY,1236,20:30:58,NZL,30-39,19,Male,38,20:30:42
43,HELENE BARRON,1457,20:42:42,NZL,40-49,1,Female,5,20:42:35
44,STEFAN ZECEVIC,1213,20:45:56,AUS,18-29,5,Male,39,20:45:49
45,ANNA O'BYRNE,1268,20:46:08,NZL,30-39,3,Female,6,20:45:58
46,ANTHONY HANCY,1069,20:52:55,NZL,30-39,20,Male,40,20:52:52
47,CHRISSI FABER,1044,20:55:59,DEU,30-39,4,Female,7,20:55:51
48,RAMIRO LOPEZ PENA,1260,20:56:56,ARG,30-39,21,Male,41,20:56:44
49,JOCHEN SETZER,1165,20:58:56,DEU,40-49,16,Male,42,20:58:52
50,MIHAI SERBAN,1448,21:01:02,ROU,40-49,17,Male,43,21:00:49
51,CHRISTOPHER POOLEY,1150,21:19:31,AUS,30-39,22,Male,44,21:19:27
52,ANDREW KOTLAR,1485,21:26:04,AUS,40-49,18,Male,45,21:25:59
53,DANIEL COX,1317,21:28:48,AUS,30-39,23,Male,46,21:28:39
54,KEITH POORE,1151,21:34:52,GBR,50-59,1,Male,47,21:34:44
55,SHAWN O'LEARY,1375,21:36:52,NZL,50-59,2,Male,48,21:36:46
56,JOHN WALSH,1283,21:44:06,IRL,50-59,3,Male,49,21:44:03
57,J³RGEN PICHLER,1390,21:44:32,AUT,40-49,19,Male,50,0:00:00
58,DAWN TUFFERY,44,21:44:38,NZL,40-49,2,Female,8,21:44:31
59,SCOT STEVENS,1401,21:47:10,AUS,40-49,20,Male,51,21:46:59
60,KOJI YAMAZAKI,1421,21:50:08,JPN,40-49,21,Male,52,21:49:52
61,LUCA AHUMADA-PERCOCO,1002,21:53:30,ARG,18-29,6,Male,53,21:53:18
62,THOMAS GODFREY,1475,21:55:39,AUS,30-39,24,Male,54,21:55:28
63,TAKAAKI HATANAKA,1072,21:58:27,JPN,40-49,22,Male,55,21:58:13
64,DAVID PEARCE,1446,22:07:50,AUS,40-49,23,Male,56,22:07:00
65,BEN COLLINS,1235,22:11:14,GBR,30-39,25,Male,57,22:10:45
66,LINDSAY HAMILTON,1335,22:12:14,AUS,40-49,3,Female,9,22:11:56
67,ANDREW DEWAR,1318,22:12:34,NZL,30-39,26,Male,58,22:12:29
68,ROMAIN GROLEAU,1430,22:14:18,FRA,40-49,24,Male,59,22:14:11
69,CRAIG ALLOM,1218,22:18:34,AUS,30-39,27,Male,60,22:18:27
70,ROBBIE MITCHELL,1367,22:22:35,NZL,30-39,28,Male,61,22:22:20
71,CHRIS ATKINSON,1006,22:24:47,NZL,50-59,4,Male,62,22:24:38
72,STEPHEN FEARON,1045,22:25:54,NZL,40-49,25,Male,63,22:25:48
73,CRISTIAN VARGAS,1450,22:26:18,CHL,40-49,26,Male,64,22:25:50
74,JAMES POST,1152,22:27:23,NZL,30-39,29,Male,65,22:27:11
75,STEFAN OZICH,1380,22:28:53,NZL,18-29,7,Male,66,22:28:46
76,TRENT BAYLISS,1296,22:29:33,AUS,30-39,30,Male,67,22:28:43
77,SARAH PARKINS,1145,22:29:40,AUS,30-39,5,Female,10,22:28:49
78,MARTIN DOLINSCHEK,1039,22:29:53,AUS,40-49,27,Male,68,22:29:42
79,NICOLAS ROTH,1538,22:36:25,AUS,40-49,28,Male,69,22:36:04
80,CHRIS KANE,1089,22:36:28,AUS,40-49,29,Male,70,22:36:25
81,TODD WOODS,1209,22:42:08,NZL,30-39,31,Male,71,22:41:51
82,BRETT BORLAND,1302,22:42:08,AUS,18-29,8,Male,72,22:42:04
83,CALLUM MORRISON,1371,22:47:19,NZL,18-29,9,Male,73,22:47:05
84,JEREMY MOODY,1370,22:49:16,NZL,40-49,30,Male,74,22:49:08
85,EDGARS LAPINS,1105,22:51:05,NZL,30-39,32,Male,75,22:50:49
86,DAVE SYKES,1277,22:57:58,AUS,40-49,31,Male,76,22:57:46
87,ANDREW BROWN,1230,22:58:14,ZWE,40-49,32,Male,77,22:57:57
88,ANDREW GIBBS,1056,22:59:35,AUS,50-59,5,Male,78,22:59:22
89,ANDREW MERRILL,1125,23:00:01,NZL,50-59,6,Male,79,22:59:51
90,ANDREW MACDONALD,1442,23:01:40,NZL,30-39,33,Male,80,23:01:11
91,JOHN MCATEER,1363,23:02:18,IRL,30-39,34,Male,81,23:01:57
92,GLENN TOMLINSON,1405,23:02:43,NZL,40-49,33,Male,82,23:02:34
93,FIONA HAYVICE,39,23:11:57,NZL,40-49,4,Female,11,23:11:54
94,TERRY MCDONALD,1117,23:16:30,NZL,40-49,34,Male,83,23:15:56
95,CAROL ROBERTSON,42,23:18:17,NZL,40-49,5,Female,12,23:18:13
96,CRAIG STOREY,1402,23:18:27,AUS,30-39,35,Male,84,23:18:22
97,BEN DARCY,1240,23:18:27,AUS,30-39,36,Male,85,23:18:21
98,BALAZS KAZMER,1351,23:19:32,HUN,30-39,37,Male,86,23:19:22
99,NICHOLAS GIBB,1429,23:19:42,NZL,40-49,35,Male,87,23:19:13
100,PAUL EDWARDS,1241,23:22:24,GBR,50-59,7,Male,88,23:21:55
