Position,Name,Bib,Time,Nationality,Category,Category Position,Gender,Gender Position
1,KOTARO NIHEI,9169,00:52:39,JPN,20-34,1,Male,1
2,STEVEN HOLLOWAY,9003,00:59:02,NZL,40-44,1,Male,2
3,ANDREW MARSHALL,9593,01:01:27,NZL,50-54,1,Male,3
4,MARTIN CARROLL,9206,01:01:37,NZL,55-59,1,Male,4
5,BENJAMIN GERHARDT,9159,01:02:24,,35-39,1,Male,5
6,JACOB TAYLOR,9006,01:04:36,NZL,50-54,2,Male,6
7,THOMAS GUY,9007,01:04:48,NZL,20-34,2,Male,7
8,JAN HUMMEL,9177,01:07:28,,35-39,2,Male,8
9,ALAIN GOSSELIN,9005,01:08:11,CAN,45-49,1,Male,9
10,AYAKO KUSUI,9224,01:08:31,JPN,35-39,1,Female,1
11,JACK WILKINSON,9230,01:08:53,GBR,35-39,3,Male,10
12,ARTHUR PAYEN,9203,01:09:18,FRA,20-34,3,Male,11
13,JONATHAN SAMSON,9204,01:10:57,AUS,45-49,2,Male,12
14,JAKOB ROBBERS,9167,01:12:16,NZL,14-15,1,Male,13
15,FRAN RAEMAEKERS,9279,01:13:02,BEL,20-34,1,Female,2
16,MARK ASHCROFT,9233,01:13:35,NZL,50-54,3,Male,14
17,KIERAN FRY,9205,01:13:38,NZL,35-39,4,Male,15
18,MARTIN GEACH,9227,01:13:45,AUS,55-59,2,Male,16
19,LAWSON MANSO,9182,01:14:22,AUS,20-34,4,Male,17
20,BRENDAN NAYLOR,9162,01:14:22,AUS,20-34,5,Male,18
21,ROWAN LIGHT,9225,01:14:38,NZL,35-39,5,Male,19
22,CAMRYN CAFFELL,9226,01:14:53,NZL,20-34,6,Male,20
23,FERDINAND VROON,9264,01:14:57,,35-39,6,Male,21
24,SAMUEL HUXLEY,9189,01:15:05,AUS,20-34,7,Male,22
25,NOAH JEAN-BAPTISTE,9010,01:15:20,FRA,20-34,8,Male,23
26,MATTHEW CUPITT,9228,01:15:43,AUS,50-54,4,Male,24
27,DAVID GEARY,9178,01:16:50,NZL,50-54,5,Male,25
28,NICOLA GONZALEZ,9361,01:18:28,NZL,20-34,2,Female,3
29,DEREK SAVAGE,9218,01:19:18,NZL,45-49,3,Male,26
30,CRAIG BULLOCH,9175,01:19:21,NZL,45-49,4,Male,27
31,KARYN MCCREADY,9596,01:19:30,NZL,55-59,1,Female,4
32,ROBYN LOVEWELL,9013,01:19:33,NZL,50-54,1,Female,5
33,DAVID CULLEN,9180,01:20:06,IRL,35-39,7,Male,28
34,AOIFE BUTLER,9123,01:20:07,IRL,20-34,3,Female,6
35,ANJA DICKGREBER,9103,01:20:22,,35-39,2,Female,7
36,SHAUNA BJORNSON,9575,01:21:11,USA,20-34,4,Female,8
37,ROBYN BJORNSON,9540,01:21:11,USA,35-39,3,Female,9
38,JACQUELINE BURKERT,9124,01:21:16,,20-34,5,Female,10
39,RHYS JOHNSTON,9002,01:22:00,NZL,45-49,5,Male,29
40,MCKENZIE JOHNSTON,9067,01:22:01,NZL,14-15,1,Female,11
41,BRIGITTE THOMMEN,9261,01:23:46,,45-49,1,Female,12
42,SEB MCLAUCHLAN,9344,01:24:01,NZL,20-34,9,Male,30
43,LYSON MARCHESSAULT,9354,01:24:01,NZL,45-49,2,Female,13
44,CATHERINE VANDEPOPELIERE,9285,01:24:08,BEL,55-59,2,Female,14
45,TAPATI TURO,9263,01:24:45,FRA,35-39,8,Male,31
46,MICHAEL SCHOECK,9166,01:24:59,USA,40-44,2,Male,32
47,MAX MOODY,9280,01:25:49,USA,35-39,9,Male,33
48,HEIDI BRADLEY,9150,01:26:12,NZL,20-34,6,Female,15
49,JARED ATKINSON,9174,01:26:32,NZL,35-39,10,Male,34
50,SCARLET CAMILLE CHAO,9376,01:27:20,CAN,20-34,7,Female,16
51,GEORGIA CRAIES,9148,01:27:35,NZL,20-34,8,Female,17
52,LACHIE WALSH,9273,01:27:40,NZL,14-15,2,Male,35
53,MADI BENSON,9045,01:27:44,GBR,35-39,4,Female,18
54,MILLIE TAYLOR,9052,01:27:46,NZL,14-15,2,Female,19
55,MEGAN HUNTER-WILSON,9078,01:28:17,NZL,20-34,9,Female,20
56,NICOLAS PIERLOT,9164,01:28:26,BEL,20-34,10,Male,36
57,WILLIAM FISHER,9193,01:28:27,NZL,45-49,6,Male,37
58,AMBER MICKELL,9223,01:28:55,NZL,45-49,3,Female,21
59,PETER TAYLOR,9025,01:28:59,NZL,45-49,7,Male,38
60,THIBAULT DREUILLE,9278,01:29:10,FRA,20-34,11,Male,39
61,MONICA ROBBERS,9259,01:29:18,NZL,55-59,3,Female,22
62,JUSTINE PIETERSEN,9222,01:29:30,NZL,45-49,4,Female,23
63,ESTHER CARR,9073,01:30:04,NZL,20-34,10,Female,24
64,BRIAR MCLEAN,9276,01:30:36,NZL,55-59,4,Female,25
65,NICKY MCDOWALL,9106,01:30:44,NZL,20-34,11,Female,26
66,JULIANNE ARAMBULO,9260,01:31:02,PHL,20-34,12,Female,27
67,LOUNA LETANG,9284,01:31:28,FRA,20-34,13,Female,28
68,DEREK MURPHY,9275,01:31:32,NZL,45-49,8,Male,40
69,CASIE LEEMING,9059,01:32:32,AUS,35-39,5,Female,29
70,LISA WINGATE,9015,01:32:57,NZL,40-44,1,Female,30
71,SAM SWAFFIELD,9266,01:33:08,NZL,20-34,12,Male,41
72,LUCY WALLACE,9055,01:33:24,NZL,20-34,14,Female,31
73,JESSICA MURRAY,9064,01:33:36,GBR,20-34,15,Female,32
74,MIKE SHADDICK,9019,01:33:47,NZL,50-54,6,Male,42
75,LAURA MNSTER,9356,01:34:09,,20-34,16,Female,33
76,ARTJOM GYULNAZAROV,9187,01:34:09,,40-44,3,Male,43
77,EDDIE ZAHRA,9188,01:34:47,AUS,60-64,1,Male,44
78,CLAIRE DOUANGMALA,9380,01:34:48,FRA,45-49,5,Female,34
79,SAMMIE PAPESCH,9199,01:35:23,NZL,14-15,3,Female,35
80,ALICE HENCHMAN,9114,01:35:39,NZL,35-39,6,Female,36
81,NOLWENN DANTEC,9053,01:36:00,FRA,20-34,17,Female,37
82,ISABELLE STOOKE,9129,01:36:02,AUS,40-44,2,Female,38
83,NATALIE HENRY,9060,01:36:35,GBR,20-34,18,Female,39
