Position,Name,Bib,Time,Nationality,Category,Category Position,Gender,Gender Position
1,SIMON COCHRANE,1003,16:25:52,NZL,40-44,1,Male,1
2,YUTARO YOKOUCHI,1540,17:27:41,JPN,20-34,1,Male,2
3,TAKUMI SAWAYANAGI,1005,17:59:25,JPN,35-39,1,Male,3
4,RONAN MCNALLY,1007,18:10:09,IRL,40-44,2,Male,4
5,DAVID BISHOP,1021,18:14:11,NZL,40-44,3,Male,5
6,SCOTT BOUGEN,1542,19:11:57,NZL,40-44,4,Male,6
7,DEVON YANKO,1541,19:58:04,USA,40-44,1,Female,1
8,MATTHEW KENNEDY,1026,20:09:41,GBR,50-54,1,Male,7
9,JAMES BLAND,1577,20:18:29,NZL,35-39,2,Male,8
10,HANNAH MCRAE,1008,20:25:12,AUS,20-34,1,Female,2
11,JEREMY WHITE,1037,20:40:13,NZL,45-49,1,Male,9
12,BRAD WHITE,1061,20:49:14,NZL,35-39,3,Male,10
13,JARROD MCLAUCHLAN,1017,20:55:02,NZL,35-39,4,Male,11
14,BYRON MANN,1040,21:02:51,NZL,40-44,5,Male,12
15,STUART HEIGHWAY,1690,21:08:17,NZL,40-44,6,Male,13
16,SARAH PARKINS,1011,21:33:38,AUS,35-39,1,Female,3
17,ANDY CROSLAND,1571,21:39:43,NZL,45-49,2,Male,14
18,TOM BANH,1055,21:43:30,AUS,20-34,2,Male,15
19,FANGYUAN WEN,1018,21:49:36,CHN,35-39,2,Female,4
20,CHRIS JERVIS,1050,21:58:36,GBR,20-34,3,Male,16
21,CHARLES WARD-JOHNSON,1041,22:05:20,NZL,20-34,4,Male,17
22,ROB MITCHELL,1079,22:14:52,GBR,20-34,5,Male,18
23,KIERAN VAN BUNNIK,1092,22:42:15,NZL,20-34,6,Male,19
24,LUKA MILISA,1049,22:51:11,NZL,40-44,7,Male,20
25,YOANN PICHON,1081,22:55:36,FRA,20-34,7,Male,21
26,CHRISTOPH KAHL,1022,23:13:26,,40-44,8,Male,22
27,MARK DIPROSE,1154,23:19:41,GBR,20-34,8,Male,23
28,KEISUKE KAZUKAWA,1043,23:24:44,JPN,35-39,5,Male,24
29,JOSEPH CROW,1106,23:29:57,AUS,40-44,9,Male,25
30,OWEN CRUMP,1084,23:31:27,NZL,40-44,10,Male,26
31,CHRIS BROWN,1522,23:38:27,NZL,45-49,3,Male,27
32,MIKE RICHARDSON,1550,23:39:52,NZL,35-39,6,Male,28
33,GAEL COULOMBEL,1028,23:42:55,FRA,40-44,11,Male,29
34,LUCA AHUMADA-PERCOCO,1543,23:51:11,ARG,20-34,9,Male,30
35,NIGEL ROBERTSON,1134,23:52:49,NZL,50-54,2,Male,31
36,SIMON MUNRO,1083,23:58:04,NZL,50-54,3,Male,32
37,RYAN MCHALE,1086,00:09:36,AUS,20-34,10,Male,33
38,DION GUEST,1027,00:13:37,NZL,35-39,7,Male,34
39,ISMAEL CHAVES BARBA,1015,00:49:05,ESP,20-34,11,Male,35
40,AMELIA KERR,1024,00:56:36,AUS,35-39,3,Female,5
