Position,Name,Bib,Time,Category,Category Position,Gender,Gender Position,Split1,Split2,Club
1,Ben Twyman,204,2:40:10,Male 25-29yrs,1,Male,1,1:18:54,1:21:15,
2,Carl Read,139,2:40:52,Male 40-44yrs,1,Male,2,1:18:54,1:21:57,
3,Kendan Gibson,77,2:48:04,Male 30-34yrs,1,Male,3,1:23:17,1:24:46,
4,Marwane El Kamraoui,189,2:50:34,Male 35-39yrs,1,Male,4,1:21:56,1:28:37,
5,Caleb Grocott,81,3:01:14,Male 19-24yrs,1,Male,5,1:30:27,1:30:47,Zyzz Jog Faction
6,David Creamer,187,3:01:52,Male 55-59yrs,1,Male,6,1:27:46,1:34:06,
7,Scott Hotham,93,3:07:14,Male 45-49yrs,1,Male,7,1:34:09,1:33:04,
8,Sergejs Uljanovs,205,3:08:30,Male 35-39yrs,2,Male,8,1:35:08,1:33:21,
9,Sam Stannard,155,3:08:33,Male 19-24yrs,2,Male,9,1:30:26,1:38:06,Zyzz Jog Faction
10,Andrew Willcocks,177,3:11:44,Male 50-54yrs,1,Male,10,1:30:37,1:41:07,
11,Thomas Trollope,210,3:12:49,Male 35-39yrs,3,Male,11,1:30:20,1:42:28,
12,John Forrest,69,3:13:03,Male 45-49yrs,2,Male,12,1:31:29,1:41:34,
13,Josh Baldwin,28,3:13:26,Male 19-24yrs,3,Male,13,1:33:32,1:39:54,Zyzz Jog Faction
14,Glen Chesterman,48,3:14:24,Male 19-24yrs,4,Male,14,1:36:19,1:38:04,
15,Brent Knight,38,3:16:09,Male 30-34yrs,2,Male,15,1:31:30,1:44:39,
16,Calvin Dawson,214,3:16:21,Male 45-49yrs,3,Male,16,1:33:15,1:43:05,
17,Stefan Ozich,200,3:17:59,Male 25-29yrs,2,Male,17,1:35:11,1:42:47,
18,Thomas Beardsley,184,3:19:48,Male 35-39yrs,4,Male,18,1:37:17,1:42:31,
19,Cath Delaporte,54,3:20:46,Female 40-44yrs,1,Female,1,1:40:19,1:40:26,
20,Cory Malcolm,115,3:21:32,Male 25-29yrs,3,Male,19,1:38:04,1:43:28,
21,Ben Buchanan,185,3:22:18,Male 19-24yrs,5,Male,20,1:35:11,1:47:06,
22,Michael Wilson,180,3:30:55,Male 19-24yrs,6,Male,21,1:36:19,1:54:35,
23,Rhys Jones,103,3:33:51,Male 30-34yrs,3,Male,22,1:37:57,1:55:54,
24,Gareth Holebrook,91,3:35:30,Male 45-49yrs,4,Male,23,1:36:52,1:58:38,
25,Chris Taylor,164,3:36:56,Male 40-44yrs,2,Male,24,1:47:05,1:49:50,
26,James Hunt,96,3:37:33,Male 60-64yrs,1,Male,25,1:47:22,1:50:10,
27,Rebecca Bailey,27,3:37:41,Female 40-44yrs,2,Female,2,1:42:36,1:55:05,
28,Greg Bonnett,39,3:37:56,Male 45-49yrs,5,Male,26,1:46:30,1:51:25,
29,Richard Brown,44,3:39:08,Male 45-49yrs,6,Male,27,1:46:37,1:52:31,
30,Phillip Sprules,154,3:39:50,Male 50-54yrs,2,Male,28,1:47:07,1:52:42,
31,Nicole Niehues,131,3:40:33,Female 40-44yrs,3,Female,3,1:48:17,1:52:15,
32,Debbie Fillery,64,3:40:39,Female 40-44yrs,4,Female,4,1:42:32,1:58:06,
33,Doug Pankhurst,133,3:40:48,Male 60-64yrs,2,Male,29,1:50:15,1:50:32,
34,Josh Dais,52,3:40:56,Male 30-34yrs,4,Male,30,1:37:55,2:03:01,
35,Marc Thomas,202,3:41:58,Male 30-34yrs,5,Male,31,1:43:27,1:58:30,
36,Jonas Bodenheimer,37,3:43:19,Male 25-29yrs,4,Male,32,1:48:38,1:54:40,FinlayJacksBackpacker
37,Dominik Noe,132,3:43:20,Male 19-24yrs,7,Male,33,1:48:39,1:54:41,FinlayJacksBackpacker
38,Victoria How,95,3:46:41,Female 25-29yrs,1,Female,5,1:46:43,1:59:57,
39,Wayne Martin,118,3:47:17,Male 50-54yrs,3,Male,34,1:50:10,1:57:06,
40,Mark BURKE,186,3:47:21,Male 55-59yrs,2,Male,35,1:48:23,1:58:57,
41,Frank Erceg,60,3:47:24,Male 40-44yrs,3,Male,36,1:42:56,2:04:27,
42,David Free,71,3:47:39,Male 55-59yrs,3,Male,37,1:52:46,1:54:52,
43,David Morgan,128,3:48:14,Male 50-54yrs,4,Male,38,1:53:35,1:54:39,
44,Sebastien Barbier,29,3:48:54,Male 35-39yrs,5,Male,39,1:37:29,2:11:25,
45,Chris Moore,127,3:50:04,Male 55-59yrs,4,Male,40,1:53:43,1:56:21,
46,Daniel Beswick,34,3:50:18,Male 35-39yrs,6,Male,41,1:42:37,2:07:40,
47,Tim Gibbs,76,3:50:45,Male 19-24yrs,8,Male,42,1:55:40,1:55:05,
48,Lawrence Kenyon-Slade,106,3:51:21,Male 19-24yrs,9,Male,43,1:52:06,1:59:14,
49,Tristan Lee,112,3:51:33,Male 30-34yrs,6,Male,44,1:49:18,2:02:15,
50,Craig Manktelow,116,3:52:44,Male 50-54yrs,5,Male,45,1:55:34,1:57:09,
51,Sam Longmore,113,3:52:55,Male 25-29yrs,5,Male,46,1:45:38,2:07:17,
52,James Harper,193,3:53:55,Male 40-44yrs,4,Male,47,1:56:48,1:57:06,
53,Carla Moore,126,3:54:54,Female 35-39yrs,1,Female,6,1:51:11,2:03:42,
54,Vaughan Swale,160,3:55:32,Male 60-64yrs,3,Male,48,1:55:42,1:59:50,
55,Sean Mcdermott,119,3:55:37,Male 19-24yrs,10,Male,49,1:34:23,2:21:13,
56,Allison Phillips,136,3:56:03,Female 19-24yrs,1,Female,7,1:46:24,2:09:39,
57,Chris Martin,117,3:56:32,Male 19-24yrs,11,Male,50,1:43:05,2:13:27,
58,Michael Simons,150,3:56:32,Male 60-64yrs,4,Male,51,1:55:41,2:00:51,
59,Andrew Thompson,165,3:57:09,Male 19-24yrs,12,Male,52,2:02:57,1:54:11,
60,Mason Robinson,143,3:57:49,Male 19-24yrs,13,Male,53,1:43:17,2:14:31,
61,Chris Bowden,40,3:58:44,Male 45-49yrs,7,Male,54,1:45:41,2:13:02,
62,Jason Roberts,201,3:58:46,Male 45-49yrs,8,Male,55,1:58:29,2:00:17,
63,Ewen Ford,68,3:58:59,Male 30-34yrs,7,Male,56,2:01:14,1:57:44,
64,Nick Hume,211,3:59:25,Male 40-44yrs,5,Male,57,1:53:24,2:06:01,
65,Darryl Atkins,26,4:00:00,Male 45-49yrs,9,Male,58,2:02:06,1:57:53,
66,Barry Watson,174,4:00:12,Male 65-69yrs,1,Male,59,1:59:39,2:00:32,
67,Nigel Blakeborough,36,4:01:11,Male 50-54yrs,6,Male,60,1:53:01,2:08:09,
68,Larry Bradley,41,4:02:46,Male 60-64yrs,5,Male,61,1:53:27,2:09:19,Auckland YMCA Marathon Club
69,Kellee Sandilands,147,4:03:05,Female 45-49yrs,1,Female,8,2:00:09,2:02:55,
70,Eitaro Urasaki,206,4:06:53,Male 25-29yrs,6,Male,62,1:44:41,2:22:12,
71,Lloyd Aickin,22,4:09:35,Male 35-39yrs,7,Male,63,1:57:48,2:11:46,
72,James Mcintosh,121,4:13:41,Male 19-24yrs,14,Male,64,1:47:05,2:26:36,Zyzz Jog Faction
73,Tony Milham,198,4:13:43,Male 55-59yrs,5,Male,65,1:55:29,2:18:13,
74,Michael Fillery,65,4:14:58,Male 50-54yrs,7,Male,66,1:55:20,2:19:38,
75,Douglas Webb,175,4:16:28,Male 25-29yrs,7,Male,67,1:47:34,2:28:54,
76,Lawrence Ahern,21,4:16:56,Male 30-34yrs,8,Male,68,1:53:21,2:23:34,
