Position,Name,Bib,Time,Category,Category Position,Gender,Gender Position,Split1,Split2,Split3,Split4,Club
1,Nathan Tse,554,2:37:03,Male Open (20-39 Years),1,Male,1,47:34,32:47,43:06,33:36,
2,Ryan White,564,2:39:49,Male Open (20-39 Years),2,Male,2,46:39,31:41,43:43,37:47,
3,Ben Twyman,556,2:42:24,Male Open (20-39 Years),3,Male,3,47:30,32:55,44:01,37:59,
4,Ryan Kiesanowski,292,2:48:03,Male Master (40-49 Years),1,Male,4,48:23,33:34,45:20,40:46,
5,Toby Hurley,270,2:50:19,Male Open (20-39 Years),4,Male,5,50:20,34:43,45:59,39:16,
6,Mathew Sturmer,416,2:53:55,Male Open (20-39 Years),5,Male,6,49:04,34:44,47:14,42:53,
7,Tanner Mclean,527,2:54:54,Male Open (20-39 Years),6,Male,7,51:40,35:44,46:27,41:04,
8,Jonathan Hicks,507,2:55:56,Male Open (20-39 Years),7,Male,8,49:28,35:31,42:49,48:08,
9,Samuel Sygrove,421,2:56:33,Male Open (20-39 Years),8,Male,9,50:31,39:40,43:13,43:09,
10,Gye Simkin,400,2:58:08,Male Open (20-39 Years),9,Male,10,49:53,35:25,48:18,44:32,FYPOS
11,Cameron Gavin,338,2:59:18,Male Open (20-39 Years),10,Male,11,50:56,35:42,48:41,44:00,
12,Thomas Watsom,559,2:59:31,Male Open (20-39 Years),11,Male,12,50:58,36:03,48:43,43:47,
13,Hamish Van der Logt,441,3:00:17,Male Open (20-39 Years),12,Male,13,51:47,35:31,49:04,43:55,
14,Philip Middleton,337,3:01:18,Male Open (20-39 Years),13,Male,14,55:11,37:19,47:36,41:11,
15,Brad White,457,3:01:23,Male Open (20-39 Years),14,Male,15,55:11,35:47,47:50,42:35,
16,Troy Florence,499,3:01:29,Male Master (40-49 Years),2,Male,16,51:21,36:12,49:28,44:27,
17,Ehsan Lorestani,521,3:02:08,Male Open (20-39 Years),15,Male,17,50:11,36:29,50:18,45:10,
18,Brittney Litton,307,3:02:52,Female Open (20-39 Years),1,Female,1,51:08,36:12,50:29,45:02,
19,Matthew Thornton,430,3:03:42,Male Open (20-39 Years),16,Male,18,51:40,35:44,49:13,47:06,
20,Liam Kearns,289,3:05:06,Male Open (20-39 Years),17,Male,19,53:04,39:03,46:03,46:56,
21,Richard Whiteman,458,3:07:47,Male Veteran (50-59 Years),1,Male,20,55:12,38:20,50:29,43:46,Y Marathon Club
