Position,Name,Time,Category,Category Position
1st,Reuben Tomlinson,1:20:34.77,M 35-39,1st
2nd,Chris Lines,1:21:47.20,M 19-34,1st
3rd,Denis Owen,1:22:02.19,M 35-39,2nd
4th,Ewen Campbell,1:22:40.67,M 35-39,3rd
5th,Chris Sanson,1:22:42.11,M 19-34,2nd
6th,Jason Daws,1:25:47.38,M 40-44,1st
7th,Glenn Haden,1:28:28.31,M 35-39,4th
8th,Damon Nicholas,1:28:47.28,M 19-34,3rd
9th,Cam Owen,1:30:39.22,M 19-34,4th
10th,Steve Burney,1:32:09.71,M 19-34,5th
11th,Shanan Whitlock,1:33:18.29,M 19-34,6th
12th,Wim Van Dijk,1:36:35.36,M 50-54,1st
13th,Pernille Lunn Erstad,1:36:57.79,F 40-44,1st
14th,Sophie Lee,1:37:59.82,F 35-39,1st
15th,Wilma Minnee,1:38:28.01,F 55-59,1st
16th,Martin Minnee,1:38:33.82,M 50-54,2nd
17th,Timothy Andrews,1:39:32.36,M 19-34,7th
18th,Daniel Lightfoot,1:39:35.15,M 35-39,5th
19th,Nathan Clarke,1:42:45.83,M 40-44,2nd
20th,Gordon Clarke,1:43:27.12,M 55-59,1st
21st,Lesley Graham,1:44:11.76,F 55-59,2nd
22nd,Josh Roewen,1:44:27.58,M 19-34,8th
23rd,Karl Priddle,1:45:53.57,M 19-34,9th
24th,Chris O'Connor,1:46:24.00,M 35-39,6th
25th,David Wood,1:47:06.74,M 40-44,3rd
26th,Mel Whiting,1:47:28.95,F 40-44,2nd
27th,Odette Shaw,1:47:39.70,F 35-39,2nd
28th,Aaron Simpson,1:47:42.95,M 19-34,10th
29th,Gavin Webber,1:47:56.80,M 50-54,3rd
30th,Rosie McIntyre,1:48:18.55,F 40-44,3rd
31st,Hisan Wahab,1:48:25.11,M 35-39,7th
32nd,Kieran Gilsenan,1:49:03.81,M 19-34,11th
33rd,Rochelle Putt,1:49:13.02,F 19-34,1st
34th,Ian Russell,1:50:07.57,M 35-39,8th
35th,Chris Thrupp,1:50:28.38,M 55-59,2nd
36th,Catherine Sykes,1:50:28.40,F 19-34,2nd
37th,Anaru Meads,1:50:42.87,M 35-39,9th
38th,James Bland,1:53:01.84,M 19-34,12th
39th,Stancy Kelly,1:53:08.98,F 19-34,3rd
40th,Michael Harre,1:53:50.49,M 40-44,4th
41st,Mel Walker,1:53:55.74,F 19-34,4th
42nd,Robert Willetts,1:54:20.29,M 55-59,3rd
43rd,Desmond Young,1:54:57.22,M 60-64,1st
44th,Rosalie Sykes,1:55:03.81,F 19-34,5th
45th,Rosie Walsh,1:55:20.60,F 19-34,6th
46th,Bridget Francis,1:55:49.89,F 19-34,7th
47th,Sonja Willemse,1:55:55.86,F 19-34,8th
48th,Michelle Moleta,1:56:10.66,F 40-44,4th
49th,Murray Wright,1:56:30.63,M 45-49,1st
50th,Darren Turnbull,1:56:50.05,M 45-49,2nd
51st,Kaye Clow,1:57:12.17,F 45-49,1st
52nd,Jenny Langrish,1:57:36.16,F 40-44,5th
53rd,Amelia Hamilton,1:57:46.89,F 19-34,9th
54th,Gregory Hamilton,1:57:47.10,M 50-54,4th
55th,Rongo Mullany,1:57:57.16,F 19-34,10th
56th,Patrick Hiscox,1:57:58.46,M 19-34,13th
57th,Leanne Crofskey,1:58:09.14,F 40-44,6th
58th,David Mellsop,1:58:19.92,M 19-34,14th
59th,David Foote,1:58:59.94,M 45-49,3rd
60th,Bruce Baldwin,1:59:08.95,M 60-64,2nd
61st,Jude Bensley,2:01:04.41,F 45-49,2nd
62nd,Jen Harvey,2:01:48.97,F 35-39,3rd
63rd,Graham Doull,2:02:21.08,M 70-74,1st
64th,Deb Gilmour,2:02:27.23,F 50-54,1st
65th,Nigel Orr,2:02:35.72,M 40-44,5th
66th,John Dixon,2:03:01.84,M 65-69,1st
67th,Sierra Ryland,2:03:13.05,F 35-39,4th
68th,Kylee Manson,2:03:47.43,F 35-39,5th
69th,Nicola Gill,2:04:03.89,F 35-39,6th
70th,Natalie Waugh,2:04:37.93,F 19-34,11th
71st,Adrian Batingal,2:04:43.53,M 19-34,15th
72nd,Deek Reuters,2:06:07.07,M 19-34,16th
73rd,Roger Childs,2:06:44.53,M 75-99,1st
74th,Shelley Smith,2:07:49.40,F 40-44,7th
75th,Michael Nield,2:09:41.87,M 50-54,5th
76th,Renee Anderson,2:10:07.36,F 35-39,7th
77th,Leanne Parker,2:11:14.76,F 19-34,12th
78th,Amie Parker,2:11:15.53,F 19-34,13th
79th,Johanna Aitchison,2:12:12.08,F 45-49,3rd
80th,Francois Guittenit,2:12:51.33,M 19-34,17th
81st,Sarah-Lee Guittenit,2:12:51.57,F 35-39,8th
82nd,Mike Vincent,2:13:24.08,M 40-44,6th
83rd,Josh Green,2:13:26.66,M 19-34,18th
84th,Danielle Hammond,2:13:31.23,F 19-34,14th
85th,Amber Andrews,2:13:44.77,F 16-18,1st
86th,Matt Andrews,2:13:44.94,M 40-44,7th
87th,John Granville,2:13:47.08,M 70-74,2nd
88th,Jake Bellamy,2:14:42.89,M 19-34,19th
89th,Sandy Anderson,2:14:46.68,F 60-64,1st
90th,Heather Knox,2:15:32.75,F 40-44,8th
91st,Amber Hoffman,2:15:36.47,F 19-34,15th
92nd,Sam Harvey,2:17:17.49,M 35-39,10th
93rd,Peter Harvey,2:17:19.21,M 19-34,20th
94th,Paul Burke,2:19:48.66,M 55-59,4th
95th,Timothy Belcher,2:21:28.98,M 40-44,8th
96th,Lizzie Turnbull,2:22:02.40,F 45-49,4th
97th,Mort Hiroti,2:22:06.99,M 50-54,6th
98th,Diane Baldwin,2:22:56.59,F 50-54,2nd
99th,Jenni Kilpatrick,2:23:05.19,F 40-44,9th
100th,Vanessa Webber,2:23:54.73,F 50-54,3rd
101st,Jessica Booth,2:24:13.59,F 19-34,16th
102nd,Jo Collins,2:25:40.61,F 55-59,3rd
103rd,Adam Hughes,2:25:51.09,M 45-49,4th
104th,Lorna Suter,2:26:13.08,F 40-44,10th
105th,Ra Rubick,2:27:16.39,F 55-59,4th
106th,Emily Keane,2:28:58.04,F 19-34,17th
107th,Stephanie Andrews,2:31:05.45,F 45-49,5th
108th,Pip Parker,2:31:33.81,F 19-34,18th
109th,Lee-Anne Hannan,2:32:30.86,F 40-44,11th
110th,Ross Edmonds,2:34:16.40,M 45-49,5th
111th,Noel Perrett,2:36:35.69,M 19-34,21st
112th,Tony Jury,2:39:09.80,M 55-59,5th
113th,Libby Gloyn,2:39:39.29,F 40-44,12th
114th,Hamish Gloyn,2:39:40.07,M 40-44,9th
115th,Nadine Staples,2:41:02.00,F 19-34,19th
116th,Shannon Spicer,2:42:03.61,F 19-34,20th
117th,Jennifer Soundy,2:43:33.75,F 19-34,21st
118th,Sarah Walker,2:45:49.13,F 50-54,4th
119th,Boris Fejzagic,2:48:22.92,M 55-59,6th
120th,Christopher Huelgas,2:48:48.02,M 19-34,22nd
121st,Anita Broughton,2:54:54.20,F 40-44,13th
122nd,Louily Marie Camargo,2:56:14.31,F 19-34,22nd
123rd,Tania Garrett,3:00:17.64,F 50-54,5th
124th,Gillian White,3:01:53.13,F 55-59,5th
125th,Niki Gunning,3:02:55.90,F 55-59,6th
