Position,Name,Time,Category,Category Position
1st,Jonathan Jackson,1:13:18,M 11-34,1st
2nd,Kunaal Rajpal,1:19:12,M 11-34,2nd
3rd,Daniel Jones,1:19:30,M 35-39,1st
4th,Simon Cochrane,1:20:11,M 11-34,3rd
5th,Robert Tang,1:21:14,M 11-34,4th
6th,Lisa Cross,1:21:41,F 35-39,1st
7th,John Bowe,1:22:02,M 45-49,1st
8th,Geoff Ferry,1:23:14,M 35-39,2nd
9th,Jeremy Moody,1:24:33,M 40-44,1st
10th,Arron Tata,1:24:39,M 45-49,2nd
11th,Chris Lawrence,1:25:54,M 11-34,5th
12th,U.b. Van Jaarsveld,1:26:07,M 35-39,3rd
13th,Carl Robb,1:26:13,M 35-39,4th
14th,Mel Aitken,1:26:45,F 40-44,1st
15th,Richard O'Sullivan,1:27:01,M 11-34,6th
16th,Jason Seymour,1:29:47,M 40-44,2nd
17th,Sasha Daniels,1:29:48,M 45-49,3rd
18th,Wayne Pemberton,1:30:16,M 40-44,3rd
19th,Sam Shergold,1:31:07,M 11-34,7th
20th,Nicholas Dobbie,1:32:05,M 11-34,8th
21st,Robbie McIvor,1:32:38,M 11-34,9th
22nd,Michael Robinson,1:32:41,M 11-34,10th
23rd,Rob Borland,1:33:32,M 11-34,11th
24th,Dave Scott,1:33:47,M 55-59,1st
25th,Nick Goodall,1:33:56,M 11-34,12th
26th,Leo Rimmer,1:35:16,M 11-34,13th
27th,Brad Barron,1:36:17,M 11-34,14th
28th,Matthew Fogarty,1:36:18,M 40-44,4th
29th,Joseph Timmermans,1:36:23,M 45-49,4th
30th,John Shepherd,1:36:28,M 55-59,2nd
31st,Seamus Kelly,1:38:04,M 11-34,15th
32nd,Kevin Demchy,1:38:22,M 35-39,5th
33rd,James O'Connor,1:38:24,M 11-34,16th
34th,Tony Rowell,1:38:24,M 35-39,6th
35th,David Wackrow,1:38:27,M 55-59,3rd
36th,Erin Furness,1:38:32,F 35-39,2nd
37th,Connor Shivnan,1:38:37,M 11-34,17th
38th,Rui Zhu,1:38:42,M 11-34,18th
39th,Connor Skipworth,1:39:05,M 11-34,19th
40th,Jackson Walker,1:39:13,M 11-34,20th
41st,Bede Van Schaijik,1:39:43,M 11-34,21st
42nd,Daniel Goudie,1:40:09,M 35-39,7th
43rd,Jacob Anderson,1:40:14,M 11-34,22nd
44th,Taurean Haumaha-Howard,1:40:16,M 11-34,23rd
45th,Maysen Greenwood,1:40:20,M 11-34,24th
46th,Brad Griffiths,1:40:22,M 45-49,5th
47th,Neeraj Dutt,1:40:22,M 11-34,25th
48th,Lyle Munnik,1:41:15,M 11-34,26th
49th,Rogan Pike,1:41:32,M 40-44,5th
50th,Jack Matthews,1:41:49,M 11-34,27th
51st,David Cheater,1:42:15,M 35-39,8th
52nd,Chris Wright,1:42:15,M 11-34,28th
53rd,Miles Dean,1:42:38,M 35-39,9th
54th,Yoonsung Choi,1:42:39,M 11-34,29th
55th,Glenn Conley,1:42:58,M 45-49,6th
56th,Lauren Boyd,1:43:03,F 11-34,1st
57th,Anna Williams,1:43:08,F 11-34,2nd
58th,Rich Voyce,1:43:17,M 50-54,1st
59th,Kylie Allison,1:43:30,F 11-34,3rd
60th,Jacob Kowalewski,1:43:59,M 11-34,30th
61st,Claire Stretch,1:43:59,F 11-34,4th
62nd,Matthew Nye-Hingston,1:43:59,M 40-44,6th
63rd,Ross Hanson,1:44:08,M 11-34,31st
64th,Gabriel Carstens,1:44:10,M 40-44,7th
65th,Nikhil Vishwanath,1:44:14,M 11-34,32nd
66th,Kerry Conway,1:44:26,F 45-49,1st
67th,Charlotte Pearson,1:44:30,F 11-34,5th
68th,Tyler White,1:44:39,M 35-39,10th
69th,Brendan Wenke,1:44:49,M 55-59,4th
70th,Mike Geraets,1:44:52,M 35-39,11th
71st,Wilfredo Verar .jr,1:45:05,M 35-39,12th
72nd,Phillip Morrell,1:45:19,M 40-44,8th
73rd,Jessica Newlands,1:45:21,F 11-34,6th
74th,Jason Hewlett,1:45:31,M 40-44,9th
75th,Jenny Wood,1:45:52,F 50-54,1st
